name, clear, useful, interesting, average
group 1, 1.28, 1.27, 1.26, 1.27
group 2, 1.33, 1.09, 1.24, 1.22
group 4, 1.19, 1.13, 1.46, 1.26
group 6, 1.31, 1.11, 1.32, 1.25
group 10, 1.20, 1.01, 1.14, 1.12
