name, clear, useful, interesting, average
group 1, 1.28, 1.27, 1.26, 1.27
group 2, 1.33, 1.09, 1.24, 1.22
group 3, 0.96, 0.99, 1.06, 1.00
group 4, 1.19, 1.13, 1.46, 1.26
group 5, 0.77, 0.81, 0.91, 0.83
group 6, 1.31, 1.11, 1.32, 1.25
group 7, 0.99, 1.00, 1.16, 1.05
group 8, 1.15, 0.89, 1.18, 1.07
group 9, 0.86, 0.72, 0.99, 0.86
group 10, 1.20, 1.01, 1.14, 1.12
